Study_id,Study_name,country,ISO,admin1,Mul_admin1,time,age_l,age_u,age_mid,total,pos,neg
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,43,43,43.5,2,1,1
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,44,44,44.5,10,2,8
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,45,45,45.5,18,2,16
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,46,46,46.5,7,2,5
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,47,47,47.5,8,2,6
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,48,48,48.5,19,3,16
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,49,49,49.5,12,3,9
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,50,50,50.5,21,3,18
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,51,51,51.5,9,1,8
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,52,52,52.5,12,0,12
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,53,53,53.5,12,4,8
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,54,54,54.5,12,0,12
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,55,55,55.5,5,0,5
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,56,56,56.5,14,3,11
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,57,57,57.5,5,0,5
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,58,58,58.5,14,1,13
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,59,59,59.5,12,0,12
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,60,60,60.5,7,0,7
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,61,61,61.5,6,3,3
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,62,62,62.5,4,1,3
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,63,63,63.5,12,6,6
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,64,64,64.5,3,1,2
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,65,65,65.5,5,1,4
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,66,66,66.5,8,2,6
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,67,67,67.5,3,0,3
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,68,68,68.5,9,1,8
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,69,99,84.5,40,4,36
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,0,0,0.5,1,1,0
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,1,1,1.5,5,0,5
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,2,2,2.5,1,0,1
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,3,3,3.5,1,0,1
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,4,4,4.5,40,0,40
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,5,5,5.5,59,0,59
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,6,6,6.5,62,1,61
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,7,7,7.5,61,1,60
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,8,8,8.5,69,0,69
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,9,9,9.5,80,2,78
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,10,10,10.5,69,2,67
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,11,11,11.5,82,7,75
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,12,12,12.5,88,12,76
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,13,13,13.5,68,7,61
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,14,14,14.5,80,9,71
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,15,15,15.5,77,18,59
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,16,16,16.5,50,7,43
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,17,17,17.5,32,5,27
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,18,18,18.5,44,13,31
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,19,19,19.5,33,1,32
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,20,20,20.5,20,3,17
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,21,21,21.5,29,4,25
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,22,22,22.5,31,7,24
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,23,23,23.5,26,7,19
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,24,24,24.5,24,8,16
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,25,25,25.5,16,3,13
A_Desiree_LaBeaud_ELISA_PRNT,A DL et al/PRNT,Kenya,KEN,Kwale,0,2009,26,26,26.5,31,7,24
